index,state,party,year,gold_topic,text
10,TX,R,2024,20,"33. State Sovereignty: Pursuant to Article 1, Section 1, of the Texas Constitution, the federal government has impaired our right of local self-government. Therefore, federally mandated legislation that infringes upon the 10th Amendment rights of Texas shall be ignored, opposed, refused, and nullified. Texas retains the right to secede from the United States, and the Texas Legislature should be called upon to pass a referendum consistent thereto."
11,CO,D,2018,3,"‘For profit’ corporations have, by definition, a very different goal and have in effect developed a health-care system that is the most expensive and least productive in overall patient outcomes in all developed nations."
12,RI,D,2019,8,"Rhode Island Democrats believe that state government should lead by example, which is why we support taking steps to power the government with 100 percent clean electricity. We also believe that carbon dioxide, methane, and other greenhouse gases should be priced to reflect their negative externalities, and to accelerate the transition to a clean energy economy and help to meet our climate goals. We will work to expand access to cost-saving renewable energy by low- income households, create good-paying jobs in communities that have struggled with energy poverty, and oppose efforts by utilities to limit consumer choice or slow clean energy deployment."
13,MT,R,2024,20,"RESOLVED, Montana calls on the Congress, Montana State Legislature, and voters to oppose ranked choice voting and similar schemes at every level of government."
14,WA,R,2024,1,"We call for Congress to implement gradual spending controls so that government spending stops growing faster than the gross domestic product (GDP). The government-controlled portion of the economy should not be allowed to grow faster than the private sector, and our children should not be saddled with the interest on trillions spent irresponsibly before they were born."
15,NC,D,2020,23,"2020 NCDP RESOLUTIONS Page | 11 NOW THEREFORE BE IT RESOLVED, that the North Carolina Democratic Party honors the life and achievements of Geneal B. Gregory and offers condolences to her family. RESOLUTION HONORING THE LIFE AND WORK OF EVA BARBER WHEREAS Eva Barber was a life-long Democrat with a passion for working for the good of the Party, and WHEREAS Eva Barber was serving as Chair of Precinct 41 in west Charlotte at the time of her death on February 9, 2020, and WHEREAS Eva Barber was dedicated to her community especially her neighbors in the Hoskins community WHEREAS Eva Barber was honored by the community when Mecklenburg County named a park in the Hoskins Community “The Eva B Barber Park”, WHEREAS Eva Barber was dedicated to her church, her community and to the principals of the Democratic Party, NOW THEREFORE BE IT RESOLVED, that the North Carolina Democratic Party honors the life and achievements of Eva Barber and offers condolences to her family."
16,ND,R,2020,23,"• PERSONAL RESPONSIBILITY—Individuals and families are responsible for their behavior. Public policy should encourage and empower their efforts to provide for their own health, safety, education, moral fortitude and personal wealth."
17,ID,R,2025,9,"WHEREAS, Idaho citizens pay most of the $11,000 per student cost to provide free K-12 education to the children of illegal immigrants, draining school district resources; and,"
18,MI,D,2019,7,"The man-made environmental disaster known as the Flint Water Crisis is a tragic example of the dire consequences of Governor Snyder and Legislative Republicans’ failed experiment in running government like a business. Under the undemocratic rule of un-elected and unaccountable Emergency Managers, the residents of the city of Flint have been forced to drink unsafe, lead contaminated water since 2014. The decision to switch Flint's drinking water source from the Detroit Water system was made by the Snyder Administration and a succession of Emergency Managers for the sole purpose of cutting the municipal budget. The consequences of these terrible decisions, borne of a philosophy of government that puts spreadsheets over people will be long lasting and in many cases irreversible for young children. Children exposed to lead are likely to experience cognitive, psychological and behavioral problems and are at higher risk for kidney and heart disease. Mitigating the damage to Flint children and families and preventing any more residents from being exposed to contaminated water should be the number one priority of every elected official in Michigan. The need to address the economic devastation wrought by this crisis also must not be ignored."
19,AR,R,2024,15,We salute the Arkansas-based businesses and entrepreneurs who make innovative changes to their work focus in order to protect their fellow Arkansans during emergencies and to weather the economic downturn inflicted upon them through no fault of their own.
20,CA,R,2024,14,"HOUSING We recognize the importance of affordable and accessible housing for all Californians. We support policies that encourage private sector investment and market-driven solutions, reducing government red tape that often inhibits housing development. We believe in empowering local communities to shape their housing landscapes without interference from Sacramento. In order to make housing more affordable, we must lower the cost and increase the rate of new construction. We can address rising costs by eliminating state regulation of new housing construction, lowering the costs and barriers for attracting skilled labor to the construction field, and by allowing flexibility on materials used in housing construction. We advocate eliminating development fees, or more accurately “new homebuyer taxes,” in order to reduce the cost of building new housing. We support repeal of the California Environmental Quality Act to prevent frivolous litigation that slows the speed and increases the cost of new housing construction. We support a statewide prohibition on rent control in order to encourage investment in new rental housing. Proposition 13 has saved property owners hundreds of billions of dollars since it was approved in 1978 and provides stability for homeowners and small business owners alike. Proposition 13 remains popular today because it allows citizens to exercise control over a government that should be limited and responsible with the people's money."
21,OK,R,2025,6,"2. We oppose any government required community service condition for graduation. 3. We oppose overt racism by schools in the name of thinly disguised faux efforts to “eliminate racism” which seek to achieve atheist, Marxist, or Socialist political outcomes."
22,AL,R,2024,3,"WHEREAS In 2023 and 2024, State Rep Jamie Kiel put forth HB208, the Pregnancy Resource Act to enable funding of PRC’s through Tax Credits. This legislation did not pass in the Senate,"
23,TX,D,2021,3,"Trust Texans to make personal and responsible decisions about whether and when to bear children, in consultation with their families, physicians, personal consciences, and/or their faith; Enable families to raise their children in safe and sustainable communities free from individual and state violence with access to affordable, quality childcare; Fund qualified healthcare providers, including Planned Parenthood, who provide preventive healthcare, pregnancy prevention, affordable prenatal care, and postpartum contraception; Use evidence-based medical science and data to guide reproductive healthcare policies, recognize the rights of the pregnant person are paramount, and oppose Targeted Regulation of Abortion Providers (TRAP) legislation, which creates dangerous restrictions on Texans&#8217; access to abortion care; Expand access to contraception and protect the constitutional right to an abortion, including by repealing the Hyde Amendment, which disproportionately impacts people of color and other marginalized communities; Ensure individual rights to obtain all forms of contraception, including long-acting reversible contraception, abortion care, and other reproductive services through their health insurance provider without additional premiums; Offer comprehensive, age-appropriate sex education, including information about communication strategies, consent, and healthy relationships, as well as support the rights of adolescents to access and consent to their own contraception and other reproductive healthcare, and end failed abstinence-only sex education policies; Provide resources for pregnant and parenting teens while encouraging them to continue their education and career development; Increase access to accurate information about reproductive health, adoption, and related resources, as well as defund crisis pregnancy centers (CPCs) which discourage abortion using unscientific, inaccurate information; Hold medical providers accountable for withholding information about a pregnancy from the pregnant person based on their presumption that a pregnancy would be terminated if they were aware of the condition; and Fund research and counseling for postpartum depression."
24,SD,D,2026,10,Road Safety Programs: Implement programs to reduce road accidents and promote safe driving practices among young people.
25,MS,R,2020,23,"Mississippi Republicans believe in the traditional, conservative values that America was founded upon. We support making English the official language of the United States of America. We believe that life begins at conception and that all life, regardless of age, is a precious gift from God, and must be protected. We believe in the traditional definition of marriage between one man and one woman. As adopted on May 14, 2016"
26,TX,R,2024,12,"161. Ban on Exposing Minors to Pornography Online : We call upon our elected leaders to compel any websites displayin g pornographic content in Texas to implement age verification for preventing minors from accessing the content, and to block or punish any such websites that continue to make such material available to minors."
27,ND,R,2020,20,"WHEREAS: It is logical to assume that if these governmental entities and courts do not obey the constitution NOW, that they will not obey any new provisions of the constitution; and"
28,OK,R,2021,2,"We oppose 1. We oppose the enactment of any compelled speech policies forcing students, staff, or faculty at public universities to use other people’s preferred or gender-neutral pronouns."
29,IN,R,2006,1,"Indiana Republicans continue to strongly support efforts to reduce taxes and spending at all levels of government. We recognize the fact that people spend their money better than government, and lower taxes actually produce higher government revenue. This fact is undisputed as evidenced by increased revenue into the federal treasury following tax cuts by Presidents John F. Kennedy, Ronald Reagan, and George W. Bush."
30,SD,D,2018,7,"The South Dakota Democratic Party recognizes that protection of our water, air, land, and other natural resources is both essential and beneficial to responsible economic development and our quality of life. Natural resources must be managed and protected in a way that enhances our quality of life, while strengthening South Dakota’s vital industries. Management and regulatory policies must recognize the need to promote sound conservation practices geared toward long- term sustainability of our natural resources. Our natural resources must be protected for present and future generations."
31,WA,R,2024,2,"We believe civil and religious liberties protect the sovereignty of the individual citizen. Natural rights as enumerated in the ﬁrst four amendments in the Bill of Rights within the U.S. Constitution (which include religious liberties) are God-given and therefore unalienable. These fundamental liberties include the freedom of speech, freedom of association, and freedom of conscience, and are proclaimed in The Declaration of Independence, protected in The Bill of Rights, and reaƯirmed in Article I of the Washington State Constitution. It is the obligation of government at every level to observe, respect, and secure these liberties."
32,WA,R,2024,19,"THEREFORE, BE IT RESOLVED that the Washington State Republican Party stands with Israel and supports her right to defend her country and her people; and"
33,VA,D,2020,4,"which the US moves away from factory farming, unsustainable agriculture, restores habitats and ecosystems, and other such"
34,TX,D,2022,2,"Constitution prohibits the establishment of a favored religion and any religious test for public office, while guaranteeing free religious exercise, we believe: That, just as personal faith and values guide and inspire us to further the well-being of our community, we must never use the power of government at any level to promote one religion or denomination over others or to impose our personal religious observances; That the determination of when life begins is a religious doctrinal issue that is viewed differently by different religions and denominations, while the right to hold differing views should be respected, imposing the doctrine of some religious denominations on others violates the First Amendment; Government must not inhibit the free exercise of religion, but religion can never be used as an excuse to discriminate against or harm others; In the separation of church and state; Our founders wisely provided for the separation of church and state, which allows religion to flourish in freedom, and respects those who have no religious faith; Government must not use any public funds to support religious positions or activities; Entangling government with religion is dangerous to both government and religion; The religious test for public office in the Texas Constitution must be removed. Religion should not be invoked to supersede the rights of others."
35,TX,D,2021,12,"Accept that a business model that generates profit from incarcerating individuals for long periods of time is unacceptable and immoral; Amend the Texas Constitution to require state and local governments to directly operate and perform all core services at prisons, jails, or detention facilities within the State of Texas, as well as expressly prohibit the use of private prisons, jails, or detention facilities within the state; Bar state and local governments from contracting with private prisons, jails, or detention facilities; and Deny corporate status, licenses, permits, and tax incentives to companies that operate private prisons, jails, or detention facilities."
36,KS,D,2018,2,"Defending Human and Equal Rights Non-Discrimination: Kansas Democrats believe in equal treatment under the law for every Kansan regardless of race, color, age, physical, intellectual, and/or developmental abilities, economic status, religion, creed, sex, national origin, ethnicity, veteran or military status, sexual orientation, or gender identity. Kansas Democrats support adding “sexual orientation and gender identity” to the non-discrimination laws and policies of our state, and the passage of hate crime legislation to protect equal rights. Religious Liberty: Kansas Democrats uphold and support the separation of church and state principle as codified in the Kansas and United States Constitutions which protects Kansans from sectarian divisions, and allows for full religious freedom without the assistance or promotion of the government. Religion is a private matter, separate from the state, and must not be used to shape public policy affecting all Kansans who hold a myriad of beliefs and philosophies. Freedom of conscience belongs to all the citizens of Kansas, and must be protected to ensure a free, democratic society. Religious liberty shall not be misconstrued as a license to discriminate or otherwise violate the law. Women’s Rights: Kansas Democrats support women’s rights, including passage of the Equal Rights Amendment. We support equal pay for equal work, and demand action on the part of our government to ensure this basic fairness."
37,CO,D,2021,19,"Colorado Democrats believe our foreign policy should reflect our highest principles of democracy and human rights. We believe the United States should engage with the people of the world as partners, contributing to the peace and security of the world. We believe peace and people prosper by giving hope, eliminating injustice, lifting the blinders of ignorance, and promoting mutual respect. We believe conflict should be settled through diplomacy whenever possible and military action is a last resort to be executed proportionately to the threat and in accordance with international laws and agreements. Colorado Democrats believe the United States best upholds its values when we work for equity, justice, sustainability, and peace around the world in community with the people and other countries of the world."
38,SD,D,2026,6,Free college education for all Tribal students up to the bachelor level at the South Dakota Board of Regental and Technical colleges.
39,AZ,R,2022,20,"WHEREAS the reserved powers alluded to will forever dignify human nature, such may be used as an offensive against any political movement that seeks to degrade the essence of being AMERICAN , with more effects as the decline of, for example, our natural state, achieved perhaps – though believed likely by many, with technological manipulation of natural resources not understood by the people, with societal losses funded by the financial resources of undisclosed “most wealthy” individuals and Fourth Estate influences; BE IT RESOLVED that the Republican Party seek to recognize the state Houses and each state Supreme Court as together possessing influence equal to the United States Supreme Court, made necessary by extraordinary times which have long threatened our individual existence and now the pandemic of 2020 with circumstances fast rendered to the world, while that court is an ineffective 1/3rd branch of the federal government, with no influence over bipartisan power struggles in twenty years. May this new arrangement exercise power to disqualify extremists within any branch, and any individual with immense, but hidden harmful influence over American authority - any who would mismanage the resources and labor of the Republic to a state of capitalism-excess, socialism or communism."
40,AR,R,2024,6,"We believe all students should have access to courses in the arts, civics , and United States history - including our founding documents, critical thinking skills , financial literacy, life skills, vocational or technical training, and computer science."
41,AR,D,2020,13,"Arkansas Democrats will protect Social Security, Medicare, and Medicaid. Social Security, Medicare, and Medicaid are Democratic creations. We oppose any steps to turn Medicare over to insurance companies or Social Security over to Wall Street and oppose raising the retirement eligibility to age 70. We recognize that Medicaid provides life-sustaining coverage for many who are seriously disabled and in need of costly, ongoing care, and we will continue funding Medicaid. Democrats will protect the pensions of all Arkansans, including those in the private and public sectors. Arkansas Democrats will protect first responders. We honor the work and sacrifices made by first responders to keep Arkansans safe. We will raise their salaries and provide them the equipment and training they need. We led the way in passing a new law to guarantee health care coverage for firefighters harmed on the job, and we will continue to fight to make sure first responders have access to health care."
42,GA,D,2024,6,"Protecting the academic freedom of students and faculty to learn, research, and pursue knowledge free from political, religious, or governmental interference."
43,SC,D,2020,14,"Therefore, be it resolved that developers will allocate money to affordable housing efforts and make a priority to en gage m inority businesses. RESOLUTION 10"
44,MI,D,2017,3,"We support prevention and treatment as a means of dealing with those struggling with addiction. Drug courts and diversionary programs should be prioritized in preventing and treating our nation’s drug problem. Michigan Democrats support efforts to remove marijuana from the list of Schedule 1 controlled substances and believe that citizens should have the right to vote on the regulation and taxation of marijuana.  Enact common sense gun safety measures. Democrats recognize the Constitutional right of Americans to keep and bear arms under the 2nd Amendment. The vast majority of Michigan gun owners are responsible citizens and sportsman that value the strong Michigan tradition of hunting and safe use of firearms. Democrats, along with vast majorities of the Am erican public, support common sense gun safety 24 | P a g e"
45,GA,D,2024,3,"High-quality healthcare is crucial for economic security, workforce productivity, healthy communities, and a strong society. Access to high-quality, affordable healthcare is a basic human right. Providers, policymakers, industry leaders, and the public must collaborate to reform and restructure our health delivery and financing system to secure this right."
46,MI,D,2019,3,"Too many Michigan families still face economic hardship. Many families are one health care emergency away from bankruptcy. Illness and medical bills are the leading causes of personal bankruptcies. Meanwhile, CEOs leave major corporations and collect millions in golden parachute payouts, while the corporations they led use bankruptcy laws to avoid paying the pension and retiree health benefits workers earned. Big businesses can get a fresh start following insolvency, but current bankruptcy laws offer no such relief to working people. Democrats support legislation to restore the protections of the bankruptcy laws for working people. Democrats favor:"
47,OK,R,2021,9,"6. We support the method for determining the number of immigrants and temporary visa holders allowed in the United States should be revised to prevent an adverse effect on our national security, wages, housing, the environment, medical care or schools."
48,VA,D,2020,3,"Trump’s rhetoric has spread throughout the Republican Party as fast as the pandemic, with elected officials such as Senator Ron Johnson (WI) stating, “We don’t shut down our economies because tens of thousands of people die from the common flu [...] getting coronavirus is not a death sentence except for maybe no more than 3.4% of our population (and) I think probably far less” and Texas Lieutenant Governor Dan Patrick, saying “[...] there are more important things than living. And that's saving this country for my children and my grandchildren and saving this country for all of us."" While Republican elected officials have suggested that seniors should be ready to sacrifice their health and potentially their lives to prevent an economic downturn, Fox News promoted the position that the media coverage of the pandemic was at best overblown and even potentially a politically motivated hoax. With a median viewer age of 65, this rhetoric from Fox News, fueled by Trump and the Republican Party, has directly put the lives of its most loyal viewers at risk. But the Trump Administration has made its disdain for senior citizens clear right from the start of Trump’s presidency. In his 2018 budget, Trump proposed killing the State Health Insurance Assistance Program (SHIP), which helps seniors manage their Medicare and private insurance coverage; eliminating the Senior Community Social Employment Program, which helps seniors find jobs; and cutting the National Institute on Aging."
49,VT,D,2021,3,"2020 Party Platform AS ADOPTED BY THE VERMONT DEMOCRATIC PARTY PLATFORM CONVENTION September 12, 2020 Preamble The COVID-19 pandemic has disrupted the life of every Vermonter. This crisis isn&rsquo;t just about masks, PPEs, tests, and contact tracing. In the wake of the 2008 financial catastrophe, and amid the global emergency of climate change and the awakening of the country to the neglected ravages of racism, the COVID health emergency has presented Vermonters with an urgent need to understand and address the inter-connected ways in which deep-seated inequities subvert, obstruct, and distort the promise of our state and the well-being of its residents."
